ID;Auditory;Control;Vis1;Vis2;Vis3;Grand Total;Age
1;500,9775281;348,7956989;570,1647059;614,3012048;527;508,7945205;18
2;421,9894737;418,1443299;558,1917808;557,9552239;566,3333333;491,159383;18
3;444,0851064;419,3152174;485,2432432;482,8611111;521,72;466,2955224;22
5;393,4329897;346,95;531,5208333;566,7142857;478,6794872;437,0136986;20
7;365,0927835;315,7864078;578,3571429;455,0114943;492,4725275;434,8982684;19
8;564,9041096;382,7956989;508,5492958;522,3538462;499,0895522;488,7181572;23
9;495,4567901;358,5684211;634,8194444;634,6206897;636,6;539,1867008;19
10;368,1020408;374,3113208;528,4411765;522,1219512;541,2;433,7960784;19
12;596,4444444;510,3267327;649,7142857;578,2291667;630,8333333;579,9602649;19
14;485,5238095;349,2403846;536,4126984;502,9746835;483,8484848;461,030303;19
15;529,7446809;377,1612903;465,9090909;655,6666667;477,0294118;483,7620818;21
16;490,8571429;492,7681159;604,1764706;643,5925926;604,9032258;557,2;20
17;494,3809524;392,1343284;554,0487805;473,173913;570,5588235;484,2850877;21
18;453,4533333;363,6794872;579,2380952;535,09375;511,8979592;480,8419453;18
19;579,5454545;361,6323529;571,375;600,2;532,0461538;512,359375;22
21;407,8860759;354,6116505;393,1315789;425,8378378;568,2;419,6275072;21
23;446,6428571;349,3965517;413,442623;354,0588235;462,8461538;406,1926606;20
24;483,8219178;400,9069767;519,3611111;407,5540541;520,2898551;471,3323263;20
